month,total
2009-01,56900323
2009-02,54093004
2009-03,66043684
2009-04,64877586
2009-05,64757794
2009-06,69097663
2009-07,74422572
2009-08,71413001
2009-09,59894800
2009-10,64184934
2009-11,59678546
2009-12,62452681
2010-01,57895059
2010-02,53134779
2010-03,67703397
2010-04,64896774
2010-05,67223086
2010-06,71096629
2010-07,75169345
2010-08,72688674
2010-09,62903857
2010-10,67700757
2010-11,63071833
2010-12,63992078
2011-01,58973763
2011-02,54602428
2011-03,69123133
2011-04,66395631
2011-05,69917366
2011-06,72593371
2011-07,76934242
2011-08,73157222
2011-09,64203054
2011-10,67309990
2011-11,63804825
2011-12,65081061
2012-01,60287522
2012-02,58138329
2012-03,70588068
2012-04,67686947
2012-05,70040634
2012-06,73485628
2012-07,76657857
2012-08,75267640
2012-09,63926218
2012-10,67177431
2012-11,64607018
2012-12,65262018
2013-01,61580704
2013-02,57760102
2013-03,71741607
2013-04,67505667
2013-05,71864292
2013-06,74218706
2013-07,76952011
2013-08,75627975
2013-09,65000811
2013-10,68891939
2013-11,63671484
2013-12,69413025
2014-01,62531544
2014-02,57834376
2014-03,73186124
2014-04,69649745
