Year	Month	DOMESTIC	INTERNATIONAL	TOTAL
2002	10	48054917	9578435	57633352
2002	11	44850246	9016535	53866781
2002	12	49684353	10038794	59723147
2003	1	43032450	9726436	52758886
2003	2	41166780	8283372	49450152
2003	3	49992700	9538653	59531353
2003	4	47033260	8309305	55342565
2003	5	49152352	8801873	57954225
2003	6	52209516	10347900	62557416
2003	7	55810773	11705206	67515979
2003	8	53920973	11799672	65720645
2003	9	44213408	9454647	53668055
2003	10	49944935	9608358	59553293
2003	11	47059495	9481886	56541381
2003	12	49757124	10512547	60269671
2004	1	43815481	10252443	54067924
2004	2	45306644	9310317	54616961
2004	3	54147227	10976440	65123667
2004	4	53253194	10802022	64055216
2004	5	53030873	10971254	64002127
2004	6	56959142	12159514	69118656
2004	7	59614287	13502913	73117200
2004	8	57380873	13203566	70584439
2004	9	47671785	10570682	58242467
2004	10	54167489	10772177	64939666
2004	11	51782564	10174320	61956884
2004	12	52640057	11244427	63884484
2005	1	47977657	11387275	59364932
2005	2	47074882	9945067	57019949
2005	3	58838975	12479643	71318618
2005	4	54908859	11521174	66430033
2005	5	57323876	12164600	69488476
2005	6	59724061	13140061	72864122
2005	7	62396446	14421209	76817655
2005	8	59110633	13703334	72813967
2005	9	50600325	11325800	61926125
2005	10	53738093	11107586	64845679
2005	11	52766404	10580099	63346503
2005	12	52801276	11812574	64613850
2006	1	48886043	11724098	60610141
2006	2	47348142	10167275	57515417
2006	3	58286011	12707241	70993252
2006	4	55828555	12619137	68447692
2006	5	57145193	12610793	69755986
2006	6	59297121	13690835	72987956
2006	7	60838606	14912621	75751227
2006	8	58303233	14171796	72475029
2006	9	49949551	12010922	61960473
2006	10	55088986	11517228	66606214
2006	11	53852209	11222687	65074896
2006	12	53538970	12385958	65924928
2007	1	50022168	12072442	62094610
2007	2	47766421	10590281	58356702
2007	3	59244232	13246293	72490525
2007	4	57398267	12795517	70193784
2007	5	59285571	12978086	72263657
2007	6	61493934	14170877	75664811
2007	7	63457403	15470687	78928090
2007	8	62660179	15120200	77780379
2007	9	52310402	12321953	64632355
2007	10	57208618	12381689	69590307
2007	11	55047116	12004268	67051384
2007	12	53291139	13098697	66389836
2008	1	50245100	12767516	63012616
2008	2	50118363	11648482	61766845
2008	3	59213077	14194753	73407830
2008	4	55611053	12961165	68572218
2008	5	58047400	13602014	71649414
2008	6	59559171	14413771	73972942
2008	7	61401480	15449821	76851301
2008	8	58966473	15327739	74294212
2008	9	47680101	11731364	59411465
2008	10	52956023	11921490	64877513
2008	11	47658141	11256163	58914304
2008	12	50253800	12463351	62717151
2009	1	44825056	12075267	56900323
2009	2	43680328	10412676	54093004
2009	3	53534891	12508793	66043684
2009	4	52247781	12629805	64877586
2009	5	52951246	11806548	64757794
2009	6	55898027	13199636	69097663
2009	7	59468957	14953615	74422572
2009	8	56568180	14844821	71413001
2009	9	48235025	11659775	59894800
2009	10	52279405	11905529	64184934
2009	11	48584832	11093714	59678546
2009	12	49793527	12659154	62452681
2010	1	45501620	12393439	57895059
2010	2	42440614	10694165	53134779
2010	3	54424077	13279320	67703397
2010	4	52498074	12398700	64896774
2010	5	53842422	13380664	67223086
2010	6	56689853	14406776	71096629
2010	7	59142493	16026852	75169345
2010	8	57370748	15317926	72688674
2010	9	50304708	12599149	62903857
2010	10	54826050	12874707	67700757
2010	11	51420519	11651314	63071833
2010	12	51076415	12915663	63992078
2011	1	46305000	12668763	58973763
2011	2	43657818	10944610	54602428
2011	3	55649428	13473705	69123133
2011	4	52858479	13537152	66395631
2011	5	55982234	13935132	69917366
2011	6	57778699	14814672	72593371
2011	7	60310568	16623674	76934242
2011	8	57403835	15753387	73157222
2011	9	50982170	13220884	64203054
2011	10	54124363	13185627	67309990
2011	11	51660083	12144742	63804825
2011	12	51534990	13546071	65081061
2012	1	47080840	13206682	60287522
2012	2	46405385	11732944	58138329
2012	3	56200391	14387677	70588068
2012	4	53691570	13995377	67686947
2012	5	55749349	14291285	70040634
2012	6	57903293	15582335	73485628
2012	7	59688267	16969590	76657857
2012	8	58646304	16621336	75267640
2012	9	50134504	13791714	63926218
2012	10	53779646	13397785	67177431
2012	11	51844482	12762536	64607018
2012	12	51165451	14096567	65262018
2013	1	47814031	13766673	61580704
2013	2	45736763	12023339	57760102
2013	3	56564538	15177069	71741607
2013	4	53226735	14278932	67505667
2013	5	56557964	15306328	71864292
2013	6	57986530	16232176	74218706
2013	7	59306473	17645538	76952011
2013	8	58110953	17517022	75627975
2013	9	50761250	14239561	65000811
2013	10	54682312	14209627	68891939
2013	11	50538227	13133257	63671484
2013	12	54329096	15083929	69413025
2014	1	47941907	14589637	62531544
2014	2	45486064	12348312	57834376
2014	3	57729464	15456660	73186124
2014	4	54821717	14828028	69649745
